"Anode Voltage","Anode Int. Voltage","Anode Current","Cathode Voltage","Cathode Int. Voltage","Cathode Current"
-1.5000000000e+00,-1.5000000000e+00,-1.0074284140e-17,0.0000000000e+00,0.0000000000e+00,1.0184664800e-17
-1.4000000000e+00,-1.4000000000e+00,-9.3488273560e-18,0.0000000000e+00,0.0000000000e+00,8.3072624040e-18
-1.3000000000e+00,-1.3000000000e+00,-8.8928519920e-18,0.0000000000e+00,0.0000000000e+00,8.3072624040e-18
-1.2000000000e+00,-1.2000000000e+00,-8.5930481780e-18,0.0000000000e+00,0.0000000000e+00,9.0854602870e-18
-1.1000000000e+00,-1.1000000000e+00,-8.0702344330e-18,0.0000000000e+00,0.0000000000e+00,7.9668008300e-18
-1.0000000000e+00,-1.0000000000e+00,-7.3654865350e-18,0.0000000000e+00,0.0000000000e+00,7.3150601030e-18
-9.0000000000e-01,-9.0000000000e-01,-6.9154008530e-18,0.0000000000e+00,0.0000000000e+00,6.9065062140e-18
-8.0000000000e-01,-8.0000000000e-01,-6.4688109830e-18,0.0000000000e+00,0.0000000000e+00,6.5660446400e-18
-7.0000000000e-01,-7.0000000000e-01,-5.7362105910e-18,0.0000000000e+00,0.0000000000e+00,5.8073017040e-18
-6.0000000000e-01,-6.0000000000e-01,-5.1749429270e-18,0.0000000000e+00,0.0000000000e+00,5.7683918100e-18
-5.0000000000e-01,-5.0000000000e-01,-4.5775392190e-18,0.0000000000e+00,0.0000000000e+00,4.6691873000e-18
-4.0000000000e-01,-4.0000000000e-01,-3.8536783550e-18,0.0000000000e+00,0.0000000000e+00,3.8034421550e-18
-3.0000000000e-01,-3.0000000000e-01,-3.1820646620e-18,0.0000000000e+00,0.0000000000e+00,3.2684311100e-18
-2.0000000000e-01,-2.0000000000e-01,-2.4234736760e-18,0.0000000000e+00,0.0000000000e+00,2.3637760710e-18
-1.0000000000e-01,-1.0000000000e-01,-1.5749794990e-18,0.0000000000e+00,0.0000000000e+00,1.9357672350e-18
-1.1480615540e-16,-1.1480615540e-16,-1.1817360400e-20,0.0000000000e+00,0.0000000000e+00,6.8092314740e-20
1.0000000000e-01,1.0000000000e-01,9.8998453240e-18,0.0000000000e+00,0.0000000000e+00,-9.8247483110e-18
2.0000000000e-01,2.0000000000e-01,8.8300831730e-17,0.0000000000e+00,0.0000000000e+00,-8.8656195610e-17
3.0000000000e-01,3.0000000000e-01,7.3048694880e-16,0.0000000000e+00,0.0000000000e+00,-7.3058198480e-16
4.0000000000e-01,4.0000000000e-01,5.4997348140e-15,0.0000000000e+00,0.0000000000e+00,-5.5001705030e-15
5.0000000000e-01,5.0000000000e-01,4.0834298110e-14,0.0000000000e+00,0.0000000000e+00,-4.0834707420e-14
6.0000000000e-01,6.0000000000e-01,3.4245697540e-13,0.0000000000e+00,0.0000000000e+00,-3.4245701630e-13
7.0000000000e-01,7.0000000000e-01,4.0102295930e-12,0.0000000000e+00,0.0000000000e+00,-4.0102299930e-12
8.0000000000e-01,8.0000000000e-01,9.1093711090e-11,0.0000000000e+00,0.0000000000e+00,-9.1093712420e-11
9.0000000000e-01,9.0000000000e-01,3.4406660340e-09,0.0000000000e+00,0.0000000000e+00,-3.4406660330e-09
1.0000000000e+00,1.0000000000e+00,1.5069403810e-07,0.0000000000e+00,0.0000000000e+00,-1.5069403810e-07
1.1000000000e+00,1.1000000000e+00,5.7677938260e-06,0.0000000000e+00,0.0000000000e+00,-5.7677938260e-06
1.2000000000e+00,1.2000000000e+00,9.4121957110e-05,0.0000000000e+00,0.0000000000e+00,-9.4121960440e-05
1.3000000000e+00,1.3000000000e+00,5.0856724620e-04,0.0000000000e+00,0.0000000000e+00,-5.0856724620e-04
1.4000000000e+00,1.4000000000e+00,1.2920990680e-03,0.0000000000e+00,0.0000000000e+00,-1.2920990670e-03
1.5000000000e+00,1.5000000000e+00,2.0776684110e-03,0.0000000000e+00,0.0000000000e+00,-2.0776684100e-03
